companyNumber,companyName,sicCodes,companyType,cashInBank,financialYearEnd,dateOfIncorporation,ageOfCompany,location,country,postcode,streetAddress
07908184,AFA ARCHITECTS AND PLANNERS LTD,['71111'],ltd,"[9385, 15271]","['2021-04-30', '2020-04-30']",2012-01-12,10,Newport,Wales,NP20 5NT,Summit House 10 Waterside Court
07913134,GRAYPEN CYMRU LIMITED,['70100'],ltd,"[-1010101, -1010101]","['2021-10-31', '2020-10-31']",2012-01-17,10,Newport,Wales,NP20 2NP,The Old Customs House
05803125,M BRADLY INVESTMENTS LIMITED,['68201'],ltd,"[3015, 18793]","['2021-05-31', '2020-05-31']",2006-05-03,16,Newport,Wales,NP18 1NT,7 East Lynne Gardens
05806455,ARCHITEXTURE LIMITED,['71111'],ltd,"[-1010101, -1010101]","['2021-04-30', '2020-04-30']",2006-05-05,16,Newport,Wales,NP20 4PB,Agincourt House  14 Clytha Park Road
05811344,HIGH TREES GREEN MANAGEMENT LIMITED,['98000'],private-limited-guarant-nsc,"[-1010101, -1010101]","['2021-05-31', '2020-05-31']",2006-05-09,16,Newport,Wales,NP11 6HH,13 High Trees
05865916,MORGAS LIMITED,['43220'],ltd,"[35957, 59628]","['2021-04-30', '2020-04-30']",2006-07-04,16,Newport,Wales,NP20 6QB,Sneyd Lodge
05973081,GAER COMMUNITY NETWORK,['88990'],private-limited-guarant-nsc-limited-exemption,"[-1010101, -1010101]","['2021-03-31', '2020-03-31']",2006-10-20,16,Newport,Wales,NP20 3GY,Gaer Community Centre
06020436,QUANTUM ADVISORY LIMITED,['65300'],ltd,"[-1010101, -1010101]","['2021-03-31', '2020-03-31']",2006-12-06,16,Newport,Wales,NP18 2HJ,Merlin House  No 1 Langstone Business Park Priory Drive
07923047,Y I CONSULTING LTD,['66190'],ltd,"[106, 2716]","['2021-03-31', '2020-03-31']",2012-01-25,10,Newport,Wales,NP10 8HJ,24 Viscount Evan Drive
07930612,GUPTA & GUPTA LIMITED,['86230'],ltd,"[150793, 44927]","['2021-03-31', '2020-03-31']",2012-01-31,10,Newport,Wales,NP20 1JZ,5 North Street
07951799,INTERFACE FACADE ENGINEERING LTD,"['71111', '71122', '71129']",ltd,"[-1010101, -1010101]","['2021-03-31', '2020-03-31']",2012-02-16,10,Newport,Wales,NP10 8FY,Cedar House
07991606,SAITH CANTREF CYF,"['82110', '82990']",ltd,"[58348, 60268]","['2021-03-31', '2020-03-31']",2012-03-15,10,Newport,Wales,SA42 0SG,Penfeidr Ie-Yr-Esgyrn
08007598,DAISYMOON DESIGNS LIMITED,['47910'],ltd,"[37716, 31071]","['2021-04-30', '2020-04-30']",2012-03-27,10,Newport,Wales,NP11 5AR,11b Darren Drive Prince Of Wales Industrial Estate
08415472,GU249BJ LTD,['68209'],ltd,"[308, 307800]","['2021-07-31', '2020-07-31']",2013-02-22,9,Newport,Wales,NP19 4PW,Bisley Factory Caswell Way
08420780,AT INSTALLATIONS LIMITED,['43342'],ltd,"[1065, -1010101]","['2021-02-28', '2021-02-26']",2013-02-26,9,Newport,Wales,NP11 4HF,10 King Charles Road
08429265,WILLIAMS & SONS PROPERTIES LIMITED,['68310'],ltd,"[52776, 25807]","['2021-03-31', '2020-03-31']",2013-03-04,9,Newport,Wales,NP11 4SQ,28 Woodland Terrace
08451705,GRAHAM METAL SOLUTIONS LTD,['46770'],ltd,"[-1010101, 398481]","['2020-08-31', '2021-08-31']",2013-03-19,9,Newport,Wales,NP20 4PG,21 Gold Tops
08457548,CRYSTAL CLEAR FINANCIAL SOLUTIONS LTD,['66220'],ltd,"[-1010101, -1010101]","['2021-07-31', '2020-07-31']",2013-03-22,9,Newport,Wales,NP10 8LF,44 Caerphilly Road
08464818,SCOTTY WILLIAMS PROMOTIONS LIMITED,['93199'],ltd,"[349, 898]","['2021-03-31', '2020-03-31']",2013-03-27,9,Newport,Wales,NP20 2DW,Lanyon House
08044511,WATCHHOUSE LIMITED,['41100'],ltd,"[99, 99]","['2021-04-30', '2020-04-30']",2012-04-25,10,Newport,Wales,NP18 1JR,Woodwards Farm Coed Y Caerau Lane
08048833,ACE DYNASTY LIMITED,['70229'],ltd,"[6268, 6810]","['2021-05-31', '2020-05-31']",2012-04-27,10,Newport,Wales,NP10 8ET,8 Brigantine Grove
08057625,CARDIFF HOMECARE LTD,['86900'],ltd,"[-1010101, -1010101]","[-1010101, -1010101]",2012-05-04,10,Newport,Wales,NP10 8FY,Severn House
08274171,RICHARD ANDREWS ARCHITECTS LTD,['71111'],ltd,"[90128, 64626]","['2021-10-31', '2020-10-31']",2012-10-30,10,Newport,Wales,NP20 4PG,The Stables Gold Tops
08289390,ZEPHYR OMEGA BUSINESS SOLUTIONS LIMITED,['62020'],ltd,"[3136, 3107]","['2021-11-30', '2020-11-30']",2012-11-12,10,Newport,Wales,NP10 8TR,Blacksmith Court Blacksmiths Way
03369328,PUREIDEAL LIMITED,['82990'],ltd,"[397546, 427745]","['2021-05-31', '2020-05-31']",1997-05-12,25,Newport,Wales,NP20 2AQ,Unit 30b Orion Suite
03532076,COLLINS GOODALL LIMITED,['68310'],ltd,"[328791, 328551]","['2021-03-31', '2020-03-31']",1998-03-20,24,Newport,Wales,NP20 2DP,John Evans Transport Services Ltd
02500171,SWIFT STEEL SERVICES LIMITED,['24100'],ltd,"[-1010101, -1010101]","['2021-02-28', '2020-02-29']",1990-05-09,32,Newport,Wales,NP19 4SL,Unit 9 Leeway Industrial Estate
02623254,HAFOD GARDENS MANAGEMENT CO. LIMITED,['98000'],ltd,"[-1010101, -1010101]","['2021-07-31', '2020-07-31']",1991-06-24,31,Newport,Wales,NP18 1GE,6 Hafod Gardens Caerleon Road
02021223,W H (SURFACE PREPERATION UK) LTD,['77320'],ltd,"[-1010101, -1010101]","['2021-03-31', '2020-03-31']",1986-05-20,36,Newport,Wales,NP20 4PB,Agincourt House  14 Clytha Park Road
02121951,DAVE SARGENT WINDOWS LIMITED,['99999'],ltd,"[-1010101, -1010101]","['2021-06-30', '2020-06-30']",1987-04-10,35,Newport,Wales,NP20 4SF,24 Bridge Street
00731261,ENERSYS LTD.,['27200'],ltd,"[-1010101, -1010101]","['2021-03-31', '2020-03-31']",1962-07-31,60,Newport,Wales,NP19 4XJ,Stephenson Street
00892186,AUSTIN FRIARS (NEWPORT) DEVELOPMENT COMPANY LIMITED,['68209'],ltd,"[-1010101, -1010101]","['2021-04-30', '2020-04-30']",1966-11-17,56,Newport,Wales,NP20 1PX,Monmouthshire Building Society
03712529,GLOBAL INSULATION LOGISTICS LIMITED,['43290'],ltd,"[-1010101, 41]","['2021-03-31', '2020-03-31']",1999-02-11,23,Newport,Wales,NP20 4PB,Agincourt House  14 Clytha Park Road
03921132,HEATHER HOMES LIMITED,['68209'],ltd,"[-1010101, -1010101]","['2021-02-28', '2020-02-29']",2000-02-08,22,Newport,Wales,NP19 9EZ,Fishbourne
01937725,BLACKFRIARS MANAGEMENT COMPANY LIMITED,['98000'],ltd,"[13988, 16769]","['2021-03-31', '2020-03-31']",1985-08-09,37,Newport,Wales,NP11 6BW,61 / 62 Tredegar Street
02411911,HALO FOODS LIMITED,"['10612', '10890']",ltd,"[-1010101, -1010101]","['2021-12-31', '2021-01-02']",1989-08-08,33,Newport,Wales,NP19 4XA,Unit 26 Estuary Road
02481056,TRASTON WELDERS LIMITED,['25990'],ltd,"[-1010101, 357457]","['2022-03-31', '2021-03-31']",1990-03-14,32,Newport,Wales,NP19 4RQ,Traston Welders
03790311,TUBE AND STEEL SUPPLIES LTD.,['46720'],ltd,"[133620, 62286]","['2021-06-30', '2020-06-30']",1999-06-16,23,Newport,Wales,NP19 4SL,Unit E
00693397,F.C. BROWN (STEEL EQUIPMENT) LIMITED,"['31010', '31090']",ltd,"[7827, 5430]","['2021-07-31', '2020-07-31']",1961-05-23,61,Newport,Wales,NP19 4PW,Caswell Way
05038903,THE SETTLE (K9) LIMITED,['96090'],ltd,"[45581, 3283]","['2021-03-31', '2020-03-31']",2004-02-09,18,Newport,Wales,NP20 4EL,11 Park Square
05059723,LIMECROSS SOLUTIONS LIMITED,['62020'],ltd,"[-1010101, -1010101]","['2021-07-31', '2020-07-31']",2004-03-02,18,Newport,Wales,SA42 0UX,Ysbryd Y Mynydd
05063912,J.S. CLEANING SERVICES LIMITED,['81210'],ltd,"[-1010101, -1010101]","[-1010101, -1010101]",2004-03-04,18,Newport,Wales,NP20 5ED,24 Allt-Yr-Yn Close
05124782,VISION 2000 (HOLDINGS) LIMITED,['70100'],ltd,"[-1010101, -1010101]","[-1010101, -1010101]",2004-05-11,18,Newport,Wales,NP10 8FY,Severn House
08763528,INNER BEAUTY (BLACKWOOD) LIMITED,['96020'],ltd,"[297, -1010101]","['2021-11-30', '2020-11-30']",2013-11-06,9,Newport,Wales,NP11 7QL,123 Islwyn Road
08787020,ST WOOLOS (HOLDINGS) LTD,['82990'],ltd,"[730807, 663683]","['2021-04-30', '2020-04-30']",2013-11-22,9,Newport,Wales,NP20 2DW,C/O Uhy Hacker Young Lanyon House
08497216,YSTUDIO LIMITED,['71112'],ltd,"[14674, 45799]","['2021-04-30', '2020-04-30']",2013-04-22,9,Newport,Wales,NP10 8FY,Cedar House
08499192,PDG SAFETY LIMITED,['70229'],ltd,"[37353, 9079]","['2021-04-30', '2020-04-30']",2013-04-22,9,Newport,Wales,NP19 0AR,10 Corporation Road
08508951,ST ANNES CHEPSTOW LIMITED,['99999'],ltd,"[-1010101, -1010101]","['2022-04-30', '2021-04-30']",2013-04-29,9,Newport,Wales,NP20 4PB,Agincourt House  14 Clytha Park Road
08550535,AUXIMAT LTD,['82990'],ltd,"[-1010101, -1010101]","[-1010101, -1010101]",2013-05-30,9,Newport,Wales,NP20 2DR,Alexander House Frederick Street
08690279,PICK UP AND PRESS LIMITED,['96010'],ltd,"[995, 3132]","['2021-05-31', '2020-05-31']",2013-09-13,9,Newport,Wales,NP20 3ES,60 Stevio Park Drvie
08714329,SYSTEMS POWER ENGINEERING LIMITED,['99999'],ltd,"[-1010101, -1010101]","['2021-12-31', '2020-12-31']",2013-10-02,9,Newport,Wales,NP11 5AR,Systems Power Engineering Ltd Prince Of Wales Ind Est
08621335,POBL TRUST,['55900'],private-limited-guarant-nsc-limited-exemption,"[-1010101, -1010101]","['2021-03-31', '2020-03-31']",2013-07-23,9,Newport,Wales,NP20 1AA,Exchange House
08399962,HONDDU VETERINARY PRACTICE LIMITED,['75000'],ltd,"[713133, 379820]","['2021-05-31', '2020-05-31']",2013-02-12,9,Newport,Wales,NP20 4PG,21 Gold Tops
08410860,SECURE DIMENSIONS LIMITED,['74100'],ltd,"[873, 378]","['2021-02-28', '2020-02-28']",2013-02-20,9,Newport,Wales,NP20 3RE,1a Melbourne Way
08509318,EMMA ANDERSON ACADEMY LTD,['90040'],ltd,"[-1010101, -1010101]","[-1010101, -1010101]",2013-04-30,9,Newport,Wales,NP19 4PT,E1 And E2
08524925,KEYSTONE STRUCTURAL ENGINEERING (SW) LIMITED,['41100'],ltd,"[22343, 13648]","['2021-05-31', '2020-05-31']",2013-05-13,9,Newport,Wales,NP20 3PQ,201 Risca Road
08558285,DH MORTGAGE SERVICES LTD,['66110'],ltd,"[-1010101, -1010101]","['2021-06-30', '2020-06-30']",2013-06-06,9,Newport,Wales,NP11 6AW,59 Commercial Street
06701347,BEDROOM ATHLETICS LIMITED,['46420'],ltd,"[-1010101, -1010101]","[-1010101, -1010101]",2008-09-18,14,Newport,Wales,NP10 8FY,Severn House
06716428,LEADERFUL ACTION LIMITED,['82990'],ltd,"[41269, 16086]","['2021-08-31', '2020-08-31']",2008-10-06,14,Newport,Wales,NP18 2HJ,Galahad House Langstone Business Village
06739727,M & D SEWING MACHINES LIMITED,['74909'],ltd,"[15920, 13054]","['2021-10-31', '2020-10-31']",2008-11-03,14,Newport,Wales,NP11 3GP,36 Pendinas Avenue
06822325,RUSSELL SWORDS LTD,['93199'],ltd,"[13348, 12054]","['2021-02-28', '2020-02-29']",2009-02-18,13,Newport,Wales,NP18 3RU,33 Wentwood Road
06848850,AJM GRANT SERVICES LIMITED,['70229'],ltd,"[1, 1]","['2021-06-30', '2020-06-30']",2009-03-17,13,Newport,Wales,NP20 5WJ,18 Gold Tops
06881637,CREATE FINANCIAL PLANNING LTD,['64999'],ltd,"[20053, 2]","['2021-04-30', '2020-04-30']",2009-04-20,13,Newport,Wales,NP20 4PG,The Estates Office
06921137,TENNANT IP LIMITED,['96090'],ltd,"[18056, 28962]","['2021-07-31', '2020-07-31']",2009-06-02,13,Newport,Wales,NP20 4JR,10 Llanthewy Road
05712435,LOGIC LAPTOP AND PC REPAIR SPECIALISTS LIMITED,['62090'],ltd,"[9463, 6351]","['2021-03-31', '2020-03-31']",2006-02-16,16,Newport,Wales,NP19 0PS,1 The Donatello
05747263,SOUTH WALES MAINTENANCE AND ENGINEERING LIMITED,['33140'],ltd,"[193688, 109653]","['2021-02-28', '2020-02-28']",2006-03-17,16,Newport,Wales,NP20 2DW,C/O Uhy Hacker Young Lanyon House
06299398,PRO PAYROLL SOLUTIONS LIMITED,['74909'],ltd,"[4407, 19223]","['2021-06-30', '2020-06-30']",2007-07-02,15,Newport,Wales,NP19 7AR,11a Corelli Street
06399229,PREMIERE PHOTOGRAPHY LTD,['74209'],ltd,"[3399, 65]","['2021-04-30', '2020-04-30']",2007-10-15,15,Newport,Wales,NP18 2NQ,41 Court Meadow
06485239,BENSDOR COMPANY LIMITED,['81299'],ltd,"[276, 1512]","['2022-01-31', '2021-01-31']",2008-01-28,14,Newport,Wales,NP19 9QR,169 Liswerry Road
06504735,CONVEY365 GROUP LIMITED,['69109'],ltd,"[-1010101, -1010101]","['2021-05-31', '2020-05-31']",2008-02-15,14,Newport,Wales,NP20 1JE,Maxwell Chambers
06526866,EAGLE EYEHEALTH LIMITED,"['47782', '86900']",ltd,"[124075, 149388]","['2021-03-31', '2020-03-31']",2008-03-07,14,Newport,Wales,NP20 2DW,C/O Uhy Hacker Young Lanyon House
06538642,THE BRILLSON CLOTHING COMPANY LIMITED,['47910'],ltd,"[1000, 1000]","['2021-03-31', '2020-03-31']",2008-03-19,14,Newport,Wales,NP18 2HJ,Merlin House  No.1 Langstone Business Park
06555220,DRAGON TAXIS (NEWPORT) LIMITED,['99999'],ltd,"[-1010101, -1010101]","['2021-12-31', '2020-12-31']",2008-04-04,14,Newport,Wales,NP18 2LH,Raleigh House Langstone Business Village
06569925,RA HOLDINGS LIMITED,['70100'],ltd,"[110454, 761516]","['2021-04-30', '2020-04-30']",2008-04-18,14,Newport,Wales,NP20 4PG,21 Gold Tops
06576807,ERWLON C & C PARK LIMITED,['55300'],ltd,"[104166, 72464]","['2021-04-30', '2020-04-30']",2008-04-25,14,Newport,Wales,NP20 4PG,21 Gold Tops
06585973,L & M VENTILATION LIMITED,['43999'],ltd,"[-1010101, -1010101]","[-1010101, -1010101]",2008-05-07,14,Newport,Wales,NP11 5AR,Unit 2 Darren Drive Prince Of Wales Ind Est
06628869,JSLR LIMITED,['45200'],ltd,"[-1010101, -1010101]","['2021-06-30', '2020-06-30']",2008-06-24,14,Newport,Wales,NP20 4PB,Agincourt House  14 Clytha Park Road
06092179,WESTGATE CITY PROPERTY LTD,['68100'],ltd,"[12295, 44050]","['2021-03-31', '2020-03-31']",2007-02-09,15,Newport,Wales,NP19 8GR,46b St. Johns Road
06100679,CASTLE HEALTH LIMITED,['87900'],ltd,"[-1010101, -1010101]","['2022-03-31', '2021-03-31']",2007-02-13,15,Newport,Wales,NP20 4PB,Agincourt House  14 Clytha Park Road
06225318,UNIQUE HAIR DESIGN LIMITED,['96020'],ltd,"[29778, 9352]","['2021-04-30', '2020-04-30']",2007-04-24,15,Newport,Wales,NP19 8AE,15 Beechdale Road
06320208,NATURAL THERAPY FOR ALL LTD,['94120'],ltd,"[4145, 61696]","['2021-07-31', '2020-07-31']",2007-07-23,15,Newport,Wales,NP18 3NW,Highfield Ponthir Road
06361686,SOUTH WALES MOTOR COMPANY LIMITED,['45112'],ltd,"[-1010101, 1125769]","['2022-10-31', '2021-09-30']",2007-09-05,15,Newport,Wales,NP20 2NS,Venta House 9a Port Road
06253264,CAUTELA DIAMOND LTD,['80100'],ltd,"[19493, 21105]","['2021-08-31', '2020-08-31']",2007-05-21,15,Newport,Wales,NP20 2DW,C/O Uhy Hacker Young Lanyon House
05610569,WALDEN STEELS LIMITED,['46720'],ltd,"[13416, 16653]","['2021-05-31', '2020-05-31']",2005-11-02,17,Newport,Wales,NP18 1PQ,23 Star Trading Estate
05750643,WALES & WEST UTILITIES PENSION SCHEME TRUSTEES LIMITED,['74990'],ltd,"[-1010101, -1010101]","['2021-03-31', '2020-03-31']",2006-03-21,16,Newport,Wales,NP10 8FZ,Wales & West House
07162467,IAC ELECTRONIC MANUFACTURING SERVICES LIMITED,['27900'],ltd,"[-1010101, -1010101]","[-1010101, -1010101]",2010-02-18,12,Newport,Wales,NP19 4SS,Delta House Meadows Road
07188469,MFD AGRICULTURE LIMITED,"['01420', '01450', '70229']",ltd,"[2344, 1847]","['2021-03-31', '2020-03-31']",2010-03-12,12,Newport,Wales,NP20 4PG,21 Gold Tops
07216963,REEFPHYTO LIMITED,['47230'],ltd,"[-1010101, -1010101]","['2021-04-30', '2020-04-30']",2010-04-08,12,Newport,Wales,NP10 8SQ,Little Acre
07285764,AE PETERSEN LIMITED,['47730'],ltd,"[-1010101, -1010101]","[-1010101, -1010101]",2010-06-16,12,Newport,Wales,NP10 9AQ,8 Cefn Road
07004732,CONVERGED CORE SOLUTIONS LIMITED,['61900'],ltd,"[179696, 196376]","['2021-08-31', '2020-08-31']",2009-08-29,13,Newport,Wales,NP20 4PG,21 Gold Tops
07070665,SCOOTERS AND SPARES LIMITED,['45400'],ltd,"[356196, 14991]","['2021-02-28', '2020-02-29']",2009-11-09,13,Newport,Wales,NP11 6NP,Unit E
07142706,MICHAEL WHEATLE LTD,['68209'],ltd,"[1, 1]","['2022-02-28', '2021-02-28']",2010-02-02,12,Newport,Wales,NP20 4HG,3 Caerau Crescent
07583479,AMPERRY CONSULTING LTD,"['58110', '62020', '86900']",ltd,"[97669, 73397]","['2021-03-31', '2020-03-31']",2011-03-30,11,Newport,Wales,NP20 4JD,65 Preston Avenue
07594910,ASPIRENET LIMITED,['62090'],ltd,"[-1010101, -1010101]","['2021-04-30', '2021-04-29']",2011-04-07,11,Newport,Wales,NP11 3AN,20 Parc Bevin
07603080,CARDIFF CITY DEVELOPMENT CENTRES NEWPORT LTD,['85510'],ltd,"[2473, 1133]","['2021-04-30', '2020-04-30']",2011-04-13,11,Newport,Wales,NP19 8PB,24 Rochester Road
07633293,GLADWIN CONSULTING LTD,['96090'],ltd,"[2108, 5792]","['2021-09-30', '2020-09-30']",2011-05-13,11,Newport,Wales,NP20 3EG,7 Upton Road
07640692,ONE80 DARTS UK LIMITED,['32300'],ltd,"[42, 86]","['2021-05-31', '2020-05-31']",2011-05-19,11,Newport,Wales,NP11 4RT,39 Manor Park
07643843,V & U ENTERPRISE LTD,['47110'],ltd,"[72948, 33477]","['2021-05-31', '2020-05-31']",2011-05-23,11,Newport,Wales,NP11 6HJ,Familyshopper 78-80 Elm Drive
07545167,TUCHE LTD,['78200'],ltd,"[219990, -1010101]","['2021-02-28', '2020-02-29']",2011-02-28,11,Newport,Wales,NP20 2DW,Uhy Hacker Young Lanyon House
07424248,STREM CHEMICALS (UK) LIMITED,['46750'],ltd,"[-1010101, -1010101]","['2021-10-31', '2020-10-31']",2010-10-29,12,Newport,Wales,NP18 1BG,Ty- Llwyd Tram Lane
07428611,ACER MANUFACTURING LIMITED,['68209'],ltd,"[-1010101, -1010101]","['2021-07-31', '2020-07-31']",2010-11-03,12,Newport,Wales,NP11 5AR,Prince Of Wales Industrial Estate
07482970,LUSCOMBE & CO LTD,['68320'],ltd,"[-1010101, -1010101]","[-1010101, -1010101]",2011-01-05,11,Newport,Wales,NP20 4SF,24 Bridge Street
07505881,GWENT ALUMINIUM & UPVC WINDOWS LTD,['47990'],ltd,"[72794, 78907]","['2022-01-31', '2021-01-31']",2011-01-26,11,Newport,Wales,NP19 0AP,PHILIP MURPHY & PARTNERS  10 Corporation Road
07659117,RJ WHEATON IT CONSULTANCY LTD,['62012'],ltd,"[10025, 5009]","['2022-06-30', '2021-06-30']",2011-06-06,11,Newport,Wales,NP19 8LY,22 Woodland Park Road
07205164,EK & CO TRADE LIMITED,['46420'],ltd,"[55131, 7093]","['2021-03-31', '2020-03-31']",2010-03-26,12,Newport,Wales,NP19 9NZ,228 Aberthaw Road
04257774,SOUTH WALES PROPERTY SERVICES LIMITED,['68100'],ltd,"[-1010101, -1010101]","['2021-07-30', '2020-07-30']",2001-07-24,21,Newport,Wales,NP20 3JZ,16 Macauley Gardens
04332089,MDW HOLDINGS LIMITED,"['07100', '49410']",ltd,"[-1010101, -1010101]","[-1010101, -1010101]",2001-11-30,21,Newport,Wales,NP18 2BS,Nash Road
04355100,LINEA RESOURCING LIMITED,['78109'],ltd,"[-1010101, -1010101]","['2021-06-30', '2020-06-30']",2002-01-17,20,Newport,Wales,NP18 2HJ,Excalibur House Priory Drive
04409931,CLEAR TAX LIMITED,"['69201', '69203']",ltd,"[3864, 3687]","['2022-03-31', '2021-03-31']",2002-04-05,20,Newport,Wales,NP20 4GB,27 York Place
04524384,HAMMOND ARCHITECTURAL LIMITED,['71111'],ltd,"[-1010101, -1010101]","[-1010101, -1010101]",2002-09-02,20,Newport,Wales,NP20 4PH,10 Gold Tops
04554263,STG AUTOLEC LIMITED,['45200'],ltd,"[-1010101, -1010101]","['2022-01-31', '2022-01-31']",2002-10-04,20,Newport,Wales,NP20 5NT,10 Waterside Court
04601811,AIRBOND LIMITED,"['28940', '28990']",ltd,"[100, -1010101]","['2021-11-30', '2020-11-30']",2002-11-27,20,Newport,Wales,NP10 8FY,Severn House
04606708,HOLLANDS ACCOUNTANCY LIMITED,['69201'],ltd,"[7620, 7620]","['2021-09-30', '2020-09-30']",2002-12-03,20,Newport,Wales,NP18 2HJ,Merlin House Priory Drive
04639206,JULIA ROBINSON LIMITED,['96090'],ltd,"[9442, 22980]","['2022-01-31', '2021-01-31']",2003-01-16,19,Newport,Wales,NP11 7ED,15 Feeder Row Cwmcarn
04647303,INTEGRA BUSINESS SOLUTIONS LIMITED,['82990'],ltd,"[1391981, 1231401]","['2021-12-31', '2020-12-31']",2003-01-24,19,Newport,Wales,NP18 2HJ,Merlin House  No 1 Langstone Business Park
04651142,REDBROOK PROPERTY MANAGEMENT LIMITED,['68209'],ltd,"[-1010101, -1010101]","[-1010101, -1010101]",2003-01-29,19,Newport,Wales,NP10 8FY,Severn House
04695542,PB ENGINEERING (USK) LIMITED,"['33120', '45200', '77310']",ltd,"[114826, 66588]","['2021-03-31', '2020-03-31']",2003-03-12,19,Newport,Wales,NP15 1LU,Ysguborwen Farm
05354017,SAMKO LIMITED,['46180'],ltd,"[-1010101, -1010101]","[-1010101, -1010101]",2005-02-05,17,Newport,Wales,NP19 4SL,Unit 21 Leeway Industrial Estate
05374422,SAFETY FIRST LIFTING GEAR SERVICES LIMITED,['46140'],ltd,"[249608, 306526]","['2022-02-28', '2021-02-28']",2005-02-23,17,Newport,Wales,NP19 4SX,Unit 17 Estuary Road
05401197,WILLIAM PARKMAN & DAUGHTERS LIMITED,"['66220', '68320']",ltd,"[29844, 180391]","['2021-12-31', '2020-12-31']",2005-03-22,17,Newport,Wales,NP11 6BW,61 / 62 Tredegar Street
05458226,COMMERCIAL CONTRACT FLOORING LTD,['82990'],ltd,"[1054, 33]","['2021-09-30', '2020-09-30']",2005-05-20,17,Newport,Wales,NP20 5NT,Summit House 10 Waterside Court
05298621,PROGRESSIVE PRECAST ERECTION LIMITED,['43290'],ltd,"[901414, 787175]","['2021-09-30', '2020-09-30']",2004-11-29,18,Newport,Wales,NP20 4SF,24 Bridge Street
05439494,INDUSTRIAL CLIMBERS LIMITED,['43999'],ltd,"[28549, 11802]","['2021-03-31', '2020-03-31']",2005-04-28,17,Newport,Wales,NP11 7PH,Mount View Waunfawr Park Road
04614986,A J FOUWEATHER HEATING & PLUMBING LTD,"['43220', '43390']",ltd,"[36594, 36594]","['2021-03-31', '2020-03-31']",2002-12-11,20,Newport,Wales,NP18 1JJ,Kula
04736289,A PRINT & DESIGN LTD,['17230'],ltd,"[31647, 27138]","['2021-03-31', '2020-03-31']",2003-04-16,19,Newport,Wales,NP20 2AQ,A PRINT  Unit 23 Enterprise Way
04733544,CLARE FOOD (NEWPORT) LIMITED,['47190'],ltd,"[-1010101, 9119]","['2021-04-30', '2020-04-30']",2003-04-14,19,Newport,Wales,NP20 2PJ,143-144 Commercial Road
04908509,SUNNYBANK CHILDRENS NURSERY (CHEPSTOW) LIMITED,['85100'],ltd,"[4897, 26906]","['2020-12-31', '2019-12-31']",2003-09-23,19,Newport,Wales,NP18 1QQ,Yew Tree Gardens Bulmore Road
05131817,BE INDEPENDENT LIMITED,['64999'],ltd,"[3216, 7456]","['2021-04-30', '2020-04-30']",2004-05-18,18,Newport,Wales,NP20 5BA,14 Fields Park Road
05149493,WALES & WEST GAS NETWORKS (SENIOR FINANCE) LIMITED,['70100'],ltd,"[-1010101, -1010101]","['2021-09-30', '2020-09-30']",2004-06-09,18,Newport,Wales,NP10 8FZ,Wales & West House Spooner Close
08877077,21ST C LIMITED,['80100'],ltd,"[15459, 15909]","['2021-02-28', '2020-02-28']",2014-02-05,8,Newport,Wales,NP19 0LE,197 Argosy Way
08880201,ANDREW BAINES LIMITED,['43999'],ltd,"[-1010101, -1010101]","['2021-03-31', '2020-03-31']",2014-02-06,8,Newport,Wales,NP20 2NY,Unit H 1c Mendalgief Retail Park
08882735,BIKONIC LIMITED,['52219'],ltd,"[1, 1]","['2021-02-28', '2020-02-28']",2014-02-07,8,Newport,Wales,NP20 5BA,18 Fields Park Road
08886626,LETHANYA LIMITED,['86210'],ltd,"[6268, 919]","['2022-02-28', '2021-02-28']",2014-02-11,8,Newport,Wales,NP19 9SD,9 Elgar Circle
08906731,THE HOPWOOD PUB COMPANY LIMITED,['56302'],ltd,"[-1010101, -1010101]","[-1010101, -1010101]",2014-02-21,8,Newport,Wales,NP10 8FY,Severn House
08919241,PLEROO LTD,['82110'],ltd,"[1517, -1010101]","['2021-03-31', '2020-03-31']",2014-03-03,8,Newport,Wales,NP20 3DS,11 Cefn Adda Court
08943954,GARETH EVANS CONSULTING LTD,['70229'],ltd,"[-1010101, -1010101]","[-1010101, -1010101]",2014-03-18,8,Newport,Wales,NP20 5BZ,25 Broadleaf Way
09034093,NISSI HEALTHCARE LIMITED,['86101'],ltd,"[1511, 3879]","['2021-05-31', '2020-05-31']",2014-05-12,8,Newport,Wales,NP20 5AH,41 Ridgeway Avenue
09047887,LITTLETON MURDOCH LTD,['70229'],ltd,"[-1010101, -1010101]","[-1010101, -1010101]",2014-05-20,8,Newport,Wales,NP10 8FY,Severn House
09051128,THE GLOBAL VOUCHER GROUP LIMITED,['58190'],ltd,"[-1010101, -1010101]","[-1010101, -1010101]",2014-05-21,8,Newport,Wales,NP10 8UH,Imperial House Imperial Way
09051404,PLUSH FLOORING SOLUTIONS LIMITED,['43999'],ltd,"[12263, 74870]","['2021-05-31', '2020-05-31']",2014-05-22,8,Newport,Wales,NP20 5PA,The Old Bank House  17 Malpas Road
09055946,BLU EARTH CONSULTING LTD,['74901'],ltd,"[1, 1]","['2021-05-31', '2020-05-31']",2014-05-27,8,Newport,Wales,NP19 4QA,27 Hampshire Avenue
09096304,WILLIAMS FINANCIAL SOLUTIONS LTD,['64999'],ltd,"[-1010101, -1010101]","['2021-06-30', '2020-06-30']",2014-06-20,8,Newport,Wales,NP18 2BZ,Montrose House West Nash Road
